user_id,item,dietary_tags,purchase_date,season
U043,Apples,"vegan, vegetarian",2024-03-06,Spring
U031,Coconut Milk,"vegan, gluten-free",2024-04-20,Spring
U021,Eggs,"vegetarian, high-protein",2024-03-02,Spring
U012,Oats,vegetarian,2024-04-21,Spring
U035,Tofu,"vegan, vegetarian, high-protein",2024-04-23,Spring
U049,Broccoli,"vegan, vegetarian",2024-03-17,Spring
U002,Bananas,"vegan, vegetarian",2024-01-15,Winter
U005,Pasta,,2024-01-23,Winter
U004,Soy Milk,"vegan, gluten-free",2024-04-28,Spring
U048,Yogurt,vegetarian,2024-01-12,Winter
U002,Brown Rice,"vegan, gluten-free",2024-02-26,Winter
U049,Avocados,"vegan, vegetarian",2024-01-05,Winter
U047,Apples,"vegan, vegetarian",2024-01-22,Winter
U002,Pasta,,2024-04-26,Spring
U034,Gluten-Free Bread,"gluten-free, vegetarian",2024-03-28,Spring
U028,Chicken Breast,high-protein,2024-01-18,Winter
U043,Cheese,vegetarian,2024-04-04,Spring
U040,Gluten-Free Bread,"gluten-free, vegetarian",2024-04-22,Spring
U037,Broccoli,"vegan, vegetarian",2024-01-29,Winter
U038,Rice Cakes,"gluten-free, vegetarian",2024-01-16,Winter
U039,Beef,high-protein,2024-02-23,Winter
U001,Turkey,high-protein,2024-02-07,Winter
U038,Gluten-Free Bread,"gluten-free, vegetarian",2024-03-17,Spring
U026,Spinach,"vegan, vegetarian",2024-03-16,Spring
U008,Kale,"vegan, vegetarian",2024-04-22,Spring
U019,Beef,high-protein,2024-02-22,Winter
U042,Carrots,"vegan, vegetarian",2024-03-23,Spring
U021,Greek Yogurt,"vegetarian, high-protein",2024-02-24,Winter
U016,Rice Cakes,"gluten-free, vegetarian",2024-04-27,Spring
U038,Lentils,"vegan, vegetarian, high-protein",2024-03-07,Spring
U014,Coconut Milk,"vegan, gluten-free",2024-04-20,Spring
U002,Spinach,"vegan, vegetarian",2024-04-16,Spring
U021,Beef,high-protein,2024-01-03,Winter
U041,Soy Milk,"vegan, gluten-free",2024-01-03,Winter
U035,Brown Rice,"vegan, gluten-free",2024-04-26,Spring
